Beltsville,New York,Philadelphia
73.3,74.2,73.3
75.6,76.2,75.6
72,73.1,72
74.6,75.6,76
76.2,74.5,76.6
74.4,72.2,74.1
77.1,77,77.9
73.9,73.3,76.6
75.5,77,77.1
75.8,75,75.1
75.1,77,76.9
73.7,77.2,77.4
74.8,77,77.1
76.2,74,77.8
74.2,76.6,76.9
74.5,75,76.6
74.3,72.8,75.3
76.8,75.1,77.8
73.2,74.5,75.5
73.6,74.7,76.2
76.8,76.5,78.5
75.6,77.3,76.8
76,75.6,76.9
76.8,78.6,77.9
74,74.8,73.9
75.4,74.7,75.4
78.3,75.3,78.1
79.7,76.2,79.5
79.1,75.8,80.7
76,74.1,76.2
77.4,75.5,78
78.8,76.7,79
76.4,73.6,77.1
79.2,78.7,81.4
79.2,78.1,82.1
76.7,77.7,81.5
74.6,72.2,74.4
77.1,74.6,77.4
76.8,75.9,77.5
79.6,78.7,81.1
72.9,72.4,74
72.7,72.3,75.4
78,77.8,79.6
76.2,75.5,78.7
75.9,74.3,76.3
77.9,75.9,78.9
78.5,76.9,79.4
76.4,74.6,77.3
76.9,77.3,79.3
74.4,73.7,75.9
79.7,80.7,81.7
80.1,79.8,82.4
79.8,78.4,81.8
78.2,79.5,80.6
75.5,75.5,78
76.3,78.4,79.2
79.4,78.6,81.2
